memberStateCode,memberStateName,beginDate,endDate,price,unit,weekNumber,description
FR,France,27/10/2025,02/11/2025,€139.12,Euro / HL.,13,Blancs / Vin AOP
FR,France,27/10/2025,02/11/2025,€110.32,Euro / HL.,13,Rouges et Rosés / Vin AOP
FR,France,27/10/2025,02/11/2025,€113.68,Euro / HL.,13,Blancs / Vin IGP
FR,France,27/10/2025,02/11/2025,€65.42,Euro / HL.,13,Rouges et Rosés / Vin sans IG sans mention de cépages
FR,France,27/10/2025,02/11/2025,€69.21,Euro / HL.,13,Blancs / Vin sans IG sans mention de cépages
FR,France,27/10/2025,02/11/2025,€91.80,Euro / HL.,13,Rouges et Rosés / Vin IGP
FR,France,27/10/2025,02/11/2025,€84.42,Euro / HL.,13,Rouges et Rosés / Vin sans IG avec mention de cépages
FR,France,27/10/2025,02/11/2025,€101.14,Euro / HL.,13,Blancs / Vin sans IG avec mention de cépages
FR,France,29/09/2025,05/10/2025,€63.81,Euro / HL.,9,Rouges et Rosés / Vin sans IG sans mention de cépages
FR,France,29/09/2025,05/10/2025,€87.42,Euro / HL.,9,Rouges et Rosés / Vin IGP
FR,France,29/09/2025,05/10/2025,€78.24,Euro / HL.,9,Blancs / Vin sans IG sans mention de cépages
FR,France,29/09/2025,05/10/2025,€164.06,Euro / HL.,9,Blancs / Vin AOP
FR,France,29/09/2025,05/10/2025,€73.77,Euro / HL.,9,Rouges et Rosés / Vin sans IG avec mention de cépages
FR,France,29/09/2025,05/10/2025,€108.52,Euro / HL.,9,Rouges et Rosés / Vin AOP
FR,France,29/09/2025,05/10/2025,€98.50,Euro / HL.,9,Blancs / Vin sans IG avec mention de cépages
FR,France,29/09/2025,05/10/2025,€113.50,Euro / HL.,9,Blancs / Vin IGP
FR,France,01/09/2025,07/09/2025,€67.25,Euro / HL.,5,Rouges et Rosés / Vin sans IG avec mention de cépages
FR,France,01/09/2025,07/09/2025,€83.07,Euro / HL.,5,Rouges et Rosés / Vin IGP
FR,France,01/09/2025,07/09/2025,€113.40,Euro / HL.,5,Rouges et Rosés / Vin AOP
FR,France,01/09/2025,07/09/2025,€92.66,Euro / HL.,5,Blancs / Vin sans IG avec mention de cépages
FR,France,01/09/2025,07/09/2025,€59.25,Euro / HL.,5,Rouges et Rosés / Vin sans IG sans mention de cépages
FR,France,01/09/2025,07/09/2025,€110.83,Euro / HL.,5,Blancs / Vin sans IG sans mention de cépages
FR,France,01/09/2025,07/09/2025,€98.72,Euro / HL.,5,Blancs / Vin IGP
FR,France,01/09/2025,07/09/2025,€165.00,Euro / HL.,5,Blancs / Vin AOP
FR,France,28/07/2025,03/08/2025,€60.54,Euro / HL.,0,Rouges et Rosés / Vin sans IG avec mention de cépages
FR,France,28/07/2025,03/08/2025,€83.75,Euro / HL.,0,Blancs / Vin sans IG avec mention de cépages
FR,France,28/07/2025,03/08/2025,€56.51,Euro / HL.,53,Rouges et Rosés / Vin sans IG sans mention de cépages
FR,France,28/07/2025,03/08/2025,€82.52,Euro / HL.,0,Blancs / Vin sans IG sans mention de cépages
FR,France,28/07/2025,03/08/2025,€115.48,Euro / HL.,0,Rouges et Rosés / Vin AOP
FR,France,28/07/2025,03/08/2025,€87.02,Euro / HL.,0,Rouges et Rosés / Vin IGP
FR,France,28/07/2025,03/08/2025,€56.51,Euro / HL.,0,Rouges et Rosés / Vin sans IG sans mention de cépages
FR,France,28/07/2025,03/08/2025,€107.81,Euro / HL.,53,Blancs / Vin IGP
FR,France,28/07/2025,03/08/2025,€83.75,Euro / HL.,53,Blancs / Vin sans IG avec mention de cépages
FR,France,28/07/2025,03/08/2025,€82.52,Euro / HL.,53,Blancs / Vin sans IG sans mention de cépages
FR,France,28/07/2025,03/08/2025,€115.48,Euro / HL.,53,Rouges et Rosés / Vin AOP
FR,France,28/07/2025,03/08/2025,€87.02,Euro / HL.,53,Rouges et Rosés / Vin IGP
FR,France,28/07/2025,03/08/2025,€60.54,Euro / HL.,53,Rouges et Rosés / Vin sans IG avec mention de cépages
FR,France,28/07/2025,03/08/2025,€131.26,Euro / HL.,0,Blancs / Vin AOP
FR,France,28/07/2025,03/08/2025,€107.81,Euro / HL.,0,Blancs / Vin IGP
FR,France,28/07/2025,03/08/2025,€131.26,Euro / HL.,53,Blancs / Vin AOP
FR,France,30/06/2025,06/07/2025,€67.31,Euro / HL.,49,Blancs / Vin sans IG sans mention de cépages
FR,France,30/06/2025,06/07/2025,€99.21,Euro / HL.,49,Blancs / Vin sans IG avec mention de cépages
FR,France,30/06/2025,06/07/2025,€109.67,Euro / HL.,49,Blancs / Vin IGP
FR,France,30/06/2025,06/07/2025,€142.19,Euro / HL.,49,Blancs / Vin AOP
FR,France,30/06/2025,06/07/2025,€126.85,Euro / HL.,49,Rouges et Rosés / Vin AOP
FR,France,30/06/2025,06/07/2025,€55.08,Euro / HL.,49,Rouges et Rosés / Vin sans IG sans mention de cépages
FR,France,30/06/2025,06/07/2025,€73.64,Euro / HL.,49,Rouges et Rosés / Vin sans IG avec mention de cépages
FR,France,30/06/2025,06/07/2025,€87.39,Euro / HL.,49,Rouges et Rosés / Vin IGP
DE,Germany,30/06/2025,06/07/2025,€130.00,Euro / HL.,49,Mosel Qba Weiß
DE,Germany,30/06/2025,06/07/2025,€70.00,Euro / HL.,49,Rheingau Qba Weiß
IT,Italy,30/06/2025,06/07/2025,€100.00,Euro / HL.,49,Verona Vino bianco DOP
IT,Italy,30/06/2025,06/07/2025,€43.70,Euro / HL.,49,Bari Vino rosso senza DOP/IGP
IT,Italy,30/06/2025,06/07/2025,€50.05,Euro / HL.,49,Bari Vino bianco senza DOP/IGP
IT,Italy,30/06/2025,06/07/2025,€71.88,Euro / HL.,49,Trapani Vino bianco senza DOP/IGP
IT,Italy,30/06/2025,06/07/2025,€53.50,Euro / HL.,49,Verona Vino rosso senza DOP/IGP
IT,Italy,30/06/2025,06/07/2025,€53.40,Euro / HL.,49,Lugo Vino bianco senza DOP/IGP
IT,Italy,30/06/2025,06/07/2025,€79.20,Euro / HL.,49,Lugo Vino rosso DOP
IT,Italy,30/06/2025,06/07/2025,€61.75,Euro / HL.,49,Pescara Vino bianco senza DOP/IGP
IT,Italy,30/06/2025,06/07/2025,€70.88,Euro / HL.,49,Pescara Vino rosso senza DOP/IGP
IT,Italy,30/06/2025,06/07/2025,€61.00,Euro / HL.,49,Trapani Vino rosso senza DOP/IGP
ES,Spain,30/06/2025,06/07/2025,€51.91,Euro / HL.,49,Valencia vino tinto sin DOP/IGP
ES,Spain,30/06/2025,06/07/2025,€47.65,Euro / HL.,49,Toledo vino blanco sin DOP/IGP
ES,Spain,30/06/2025,06/07/2025,€46.46,Euro / HL.,49,Ciudad Real vino blanco sin DOP/IGP
ES,Spain,30/06/2025,06/07/2025,€48.19,Euro / HL.,49,Albacete vino tinto sin DOP/IGP
ES,Spain,30/06/2025,06/07/2025,€59.07,Euro / HL.,49,Albacete vino blanco sin DOP/IGP
ES,Spain,30/06/2025,06/07/2025,€40.89,Euro / HL.,49,Toledo vino tinto sin DOP/IGP
ES,Spain,30/06/2025,06/07/2025,€51.04,Euro / HL.,49,Badajoz vino blanco sin DOP/IGP
ES,Spain,30/06/2025,06/07/2025,€43.43,Euro / HL.,49,Ciudad Real vino tinto sin DOP/IGP
FR,France,26/05/2025,01/06/2025,€106.43,Euro / HL.,44,Blancs / Vin IGP
FR,France,26/05/2025,01/06/2025,€100.02,Euro / HL.,44,Blancs / Vin sans IG sans mention de cépages
FR,France,26/05/2025,01/06/2025,€184.36,Euro / HL.,44,Blancs / Vin AOP
FR,France,26/05/2025,01/06/2025,€87.92,Euro / HL.,44,Blancs / Vin sans IG avec mention de cépages
FR,France,26/05/2025,01/06/2025,€124.34,Euro / HL.,44,Rouges et Rosés / Vin AOP
FR,France,26/05/2025,01/06/2025,€85.05,Euro / HL.,44,Rouges et Rosés / Vin IGP
FR,France,26/05/2025,01/06/2025,€75.90,Euro / HL.,44,Rouges et Rosés / Vin sans IG avec mention de cépages
FR,France,26/05/2025,01/06/2025,€61.14,Euro / HL.,44,Rouges et Rosés / Vin sans IG sans mention de cépages
DE,Germany,26/05/2025,01/06/2025,€70.00,Euro / HL.,44,Rheingau Qba Weiß
DE,Germany,26/05/2025,01/06/2025,€130.00,Euro / HL.,44,Mosel Qba Weiß
ES,Spain,26/05/2025,01/06/2025,€47.15,Euro / HL.,44,Ciudad Real vino blanco sin DOP/IGP
ES,Spain,26/05/2025,01/06/2025,€39.78,Euro / HL.,44,Toledo vino tinto sin DOP/IGP
ES,Spain,26/05/2025,01/06/2025,€49.07,Euro / HL.,44,Toledo vino blanco sin DOP/IGP
ES,Spain,26/05/2025,01/06/2025,€50.82,Euro / HL.,44,Badajoz vino blanco sin DOP/IGP
ES,Spain,26/05/2025,01/06/2025,€43.82,Euro / HL.,44,Ciudad Real vino tinto sin DOP/IGP
ES,Spain,26/05/2025,01/06/2025,€48.42,Euro / HL.,44,Albacete vino tinto sin DOP/IGP
ES,Spain,26/05/2025,01/06/2025,€60.93,Euro / HL.,44,Albacete vino blanco sin DOP/IGP
ES,Spain,26/05/2025,01/06/2025,€30.08,Euro / HL.,44,Valencia vino tinto sin DOP/IGP
FR,France,28/04/2025,04/05/2025,€171.05,Euro / HL.,40,Blancs / Vin AOP
FR,France,28/04/2025,04/05/2025,€77.26,Euro / HL.,40,Blancs / Vin sans IG avec mention de cépages
FR,France,28/04/2025,04/05/2025,€68.01,Euro / HL.,40,Rouges et Rosés / Vin sans IG sans mention de cépages
FR,France,28/04/2025,04/05/2025,€86.87,Euro / HL.,40,Rouges et Rosés / Vin IGP
FR,France,28/04/2025,04/05/2025,€116.53,Euro / HL.,40,Rouges et Rosés / Vin AOP
FR,France,28/04/2025,04/05/2025,€70.37,Euro / HL.,40,Blancs / Vin sans IG sans mention de cépages
FR,France,28/04/2025,04/05/2025,€107.43,Euro / HL.,40,Blancs / Vin IGP
FR,France,28/04/2025,04/05/2025,€74.47,Euro / HL.,40,Rouges et Rosés / Vin sans IG avec mention de cépages
DE,Germany,28/04/2025,04/05/2025,€80.00,Euro / HL.,40,Rheingau Qba Weiß
DE,Germany,28/04/2025,04/05/2025,€130.00,Euro / HL.,40,Mosel Qba Weiß
DE,Germany,28/04/2025,04/05/2025,€45.00,Euro / HL.,40,Rheinhessen ohne Rebsorteangabe
IT,Italy,28/04/2025,04/05/2025,€100.00,Euro / HL.,40,Verona Vino bianco DOP
IT,Italy,28/04/2025,04/05/2025,€61.00,Euro / HL.,40,Trapani Vino rosso senza DOP/IGP
IT,Italy,28/04/2025,04/05/2025,€55.00,Euro / HL.,40,Verona Vino rosso senza DOP/IGP
IT,Italy,28/04/2025,04/05/2025,€61.75,Euro / HL.,40,Pescara Vino bianco senza DOP/IGP
IT,Italy,28/04/2025,04/05/2025,€79.20,Euro / HL.,40,Lugo Vino rosso DOP
IT,Italy,28/04/2025,04/05/2025,€54.50,Euro / HL.,40,Lugo Vino bianco senza DOP/IGP
IT,Italy,28/04/2025,04/05/2025,€50.05,Euro / HL.,40,Bari Vino bianco senza DOP/IGP
IT,Italy,28/04/2025,04/05/2025,€70.88,Euro / HL.,40,Pescara Vino rosso senza DOP/IGP
IT,Italy,28/04/2025,04/05/2025,€71.88,Euro / HL.,40,Trapani Vino bianco senza DOP/IGP
IT,Italy,28/04/2025,04/05/2025,€43.70,Euro / HL.,40,Bari Vino rosso senza DOP/IGP
ES,Spain,28/04/2025,04/05/2025,€58.77,Euro / HL.,40,Albacete vino blanco sin DOP/IGP
ES,Spain,28/04/2025,04/05/2025,€42.27,Euro / HL.,40,Toledo vino tinto sin DOP/IGP
ES,Spain,28/04/2025,04/05/2025,€49.16,Euro / HL.,40,Badajoz vino blanco sin DOP/IGP
ES,Spain,28/04/2025,04/05/2025,€48.07,Euro / HL.,40,Albacete vino tinto sin DOP/IGP
ES,Spain,28/04/2025,04/05/2025,€46.05,Euro / HL.,40,Toledo vino blanco sin DOP/IGP
ES,Spain,28/04/2025,04/05/2025,€44.57,Euro / HL.,40,Ciudad Real vino tinto sin DOP/IGP
ES,Spain,28/04/2025,04/05/2025,€46.54,Euro / HL.,40,Ciudad Real vino blanco sin DOP/IGP
FR,France,31/03/2025,06/04/2025,€79.45,Euro / HL.,36,Rouges et Rosés / Vin sans IG sans mention de cépages
FR,France,31/03/2025,06/04/2025,€70.37,Euro / HL.,36,Blancs / Vin sans IG sans mention de cépages
FR,France,31/03/2025,06/04/2025,€167.67,Euro / HL.,36,Blancs / Vin AOP
FR,France,31/03/2025,06/04/2025,€93.19,Euro / HL.,36,Blancs / Vin sans IG avec mention de cépages
FR,France,31/03/2025,06/04/2025,€110.65,Euro / HL.,36,Blancs / Vin IGP
FR,France,31/03/2025,06/04/2025,€88.00,Euro / HL.,36,Rouges et Rosés / Vin IGP
FR,France,31/03/2025,06/04/2025,€72.72,Euro / HL.,36,Rouges et Rosés / Vin sans IG avec mention de cépages
FR,France,31/03/2025,06/04/2025,€112.06,Euro / HL.,36,Rouges et Rosés / Vin AOP
DE,Germany,31/03/2025,06/04/2025,€130.00,Euro / HL.,36,Mosel Qba Weiß
DE,Germany,31/03/2025,06/04/2025,€80.00,Euro / HL.,36,Rheingau Qba Weiß
IT,Italy,31/03/2025,06/04/2025,€43.70,Euro / HL.,36,Bari Vino rosso senza DOP/IGP
IT,Italy,31/03/2025,06/04/2025,€79.20,Euro / HL.,36,Lugo Vino rosso DOP
IT,Italy,31/03/2025,06/04/2025,€61.00,Euro / HL.,36,Trapani Vino rosso senza DOP/IGP
IT,Italy,31/03/2025,06/04/2025,€54.50,Euro / HL.,36,Lugo Vino bianco senza DOP/IGP
IT,Italy,31/03/2025,06/04/2025,€55.00,Euro / HL.,36,Verona Vino rosso senza DOP/IGP
IT,Italy,31/03/2025,06/04/2025,€70.88,Euro / HL.,36,Pescara Vino rosso senza DOP/IGP
IT,Italy,31/03/2025,06/04/2025,€61.75,Euro / HL.,36,Pescara Vino bianco senza DOP/IGP
IT,Italy,31/03/2025,06/04/2025,€50.05,Euro / HL.,36,Bari Vino bianco senza DOP/IGP
IT,Italy,31/03/2025,06/04/2025,€100.00,Euro / HL.,36,Verona Vino bianco DOP
IT,Italy,31/03/2025,06/04/2025,€71.88,Euro / HL.,36,Trapani Vino bianco senza DOP/IGP
ES,Spain,31/03/2025,06/04/2025,€49.85,Euro / HL.,36,Badajoz vino blanco sin DOP/IGP
ES,Spain,31/03/2025,06/04/2025,€58.99,Euro / HL.,36,Albacete vino blanco sin DOP/IGP
ES,Spain,31/03/2025,06/04/2025,€43.18,Euro / HL.,36,Toledo vino tinto sin DOP/IGP
ES,Spain,31/03/2025,06/04/2025,€42.43,Euro / HL.,36,Ciudad Real vino tinto sin DOP/IGP
ES,Spain,31/03/2025,06/04/2025,€49.71,Euro / HL.,36,Albacete vino tinto sin DOP/IGP
ES,Spain,31/03/2025,06/04/2025,€50.55,Euro / HL.,36,Ciudad Real vino blanco sin DOP/IGP
ES,Spain,31/03/2025,06/04/2025,€45.49,Euro / HL.,36,Toledo vino blanco sin DOP/IGP
FR,France,24/02/2025,02/03/2025,€117.33,Euro / HL.,31,Rouges et Rosés / Vin AOP
FR,France,24/02/2025,02/03/2025,€176.56,Euro / HL.,31,Blancs / Vin AOP
DE,Germany,24/02/2025,02/03/2025,€62.50,Euro / HL.,31,Rheinhessen Qba Weiß
DE,Germany,24/02/2025,02/03/2025,€80.00,Euro / HL.,31,Rheingau Qba Weiß
DE,Germany,24/02/2025,02/03/2025,€130.00,Euro / HL.,31,Mosel Qba Weiß
IT,Italy,24/02/2025,02/03/2025,€71.88,Euro / HL.,31,Trapani Vino bianco senza DOP/IGP
IT,Italy,24/02/2025,02/03/2025,€70.88,Euro / HL.,31,Pescara Vino rosso senza DOP/IGP
IT,Italy,24/02/2025,02/03/2025,€43.70,Euro / HL.,31,Bari Vino rosso senza DOP/IGP
